Provincia,Partido,Localidad,Población,Adsl,Cablemódem,Dial Up,Fibra Óptica,Satelital,Wireless,Telefonía Fija,3G,4G,Link,Latitud,Longitud
Chubut,Rawson,Playa Unión,6775,1,1,1,1,0,1,1,1,1,26077020,-43,-65
Caba,Comuna 09,Parque Avellaneda,53229,1,1,1,1,1,1,1,1,1,2000010,-34,-58
Cordoba,Santa María,Monte Ralo,518,0,0,0,0,0,1,0,1,1,14147220,-31,-64
Cordoba,Santa María,Potrero De Garay,1017,0,0,0,1,0,1,1,1,1,14147230,-31,-64
Cordoba,Santa María,Rafael García,555,0,0,0,0,0,1,1,0,1,14147240,-31,-64
Cordoba,Santa María,San Clemente,134,0,0,0,0,0,0,1,1,1,14147250,-31,-64
Cordoba,Santa María,San Nicolás,1171,1,0,0,0,0,0,1,1,1,14147260,-31,-64
Cordoba,Santa María,Socavones,263,0,0,0,0,0,0,0,0,0,14147270,-31,-64
Cordoba,Santa María,Tejas Tres,0,0,0,0,0,0,0,0,0,0,14147220,-31,-64
Cordoba,Santa María,Tierra Alta,0,0,0,0,0,0,0,0,0,0,14147220,-31,-64
Buenos Aires,San Andrés De Giles,Azcuénaga,312,0,0,0,1,0,1,1,0,0,6728010,-34,-59
Buenos Aires,San Andrés De Giles,Cucullú,551,0,0,0,0,0,1,1,0,0,6728020,-34,-59
Buenos Aires,San Andrés De Giles,Franklin,87,0,0,0,0,0,0,0,0,0,6728030,-34,-59
Buenos Aires,San Andrés De Giles,San Andrés De Giles,16243,1,1,1,1,1,0,1,1,1,6728040,-34,-59
Buenos Aires,San Andrés De Giles,Solís,1001,1,0,0,1,1,1,1,0,0,6728050,-34,-59
Buenos Aires,San Andrés De Giles,Villa Espil,157,0,0,0,0,0,1,0,0,0,6728060,-34,-59
Buenos Aires,San Andrés De Giles,Villa Ruiz,477,0,0,0,1,0,1,1,0,0,6728070,-34,-59
Buenos Aires,San Antonio De Areco,Duggan,573,0,0,0,1,0,1,1,0,0,6735010,-34,-59
Buenos Aires,San Antonio De Areco,San Antonio De Areco,19768,1,1,1,1,1,1,1,1,1,6735020,-34,-59
Buenos Aires,San Antonio De Areco,Villa Lía,1182,1,0,0,1,0,1,1,0,1,6735030,-34,-59
Buenos Aires,San Cayetano,Balneario San Cayetano,46,0,0,0,1,0,1,1,0,1,6742010,-38,-59
Buenos Aires,San Cayetano,Ochandío,51,0,0,0,0,0,1,0,0,0,6742020,-38,-59
Catamarca,Belén,La Puntilla,236,0,0,0,0,0,0,0,0,0,10035090,-27,-66
Catamarca,Belén,Las Juntas,258,0,0,0,0,0,1,0,0,0,10035100,-27,-67
Catamarca,Belén,Londres,2456,0,0,0,0,1,1,1,0,1,10035110,-27,-67
Catamarca,Belén,Los Nacimientos,215,0,0,0,0,0,0,1,0,1,10035120,-27,-66
Catamarca,Belén,Puerta De Corral Quemado,575,0,0,0,0,0,0,0,0,0,10035130,-27,-66
Catamarca,Belén,Puerta De San José,277,0,0,0,0,0,0,0,0,0,10035140,-27,-67
Catamarca,Belén,Villa Vil,481,0,0,0,0,0,0,0,0,0,10035150,-27,-66
Catamarca,Capayán,Adolfo E. Carranza,32,0,0,0,0,0,0,0,0,0,10042010,-29,-65
Catamarca,Capayán,Balde De La Punta,116,0,0,0,0,0,0,1,0,0,10042020,-29,-65
Catamarca,Capayán,Capayán,636,0,0,0,0,1,0,0,0,1,10042030,-28,-66
Catamarca,Capayán,Chumbicha,4531,1,0,0,1,1,1,1,1,1,10042040,-28,-66
Catamarca,Capayán,Colonia Del Valle,854,0,0,0,0,1,0,1,0,0,10042050,-28,-65
Catamarca,Capayán,Colonia Nueva Coneta,1951,0,0,0,1,1,1,1,1,1,10042060,-28,-65
Catamarca,Capayán,Concepción,387,0,0,0,0,0,0,0,0,0,10042070,-28,-66
Catamarca,Capayán,Coneta,653,0,0,0,1,1,0,1,0,0,10042080,-28,-65
Catamarca,Capayán,El Bañado,158,0,0,0,0,0,0,0,0,0,10042090,-28,-65
Catamarca,Capayán,Huillapima,2416,0,0,0,1,1,1,1,1,1,10042100,-28,-65
Catamarca,Capayán,Los Angeles,383,0,0,0,0,0,1,1,0,0,10042110,-28,-65
Catamarca,Capayán,Los Angeles Norte,0,0,0,0,0,0,0,0,0,0,10042020,-28,-65
Catamarca,Capayán,Los Angeles Sur,0,0,0,0,0,0,0,0,0,0,10042020,-28,-66
Catamarca,Capayán,Miraflores,1650,0,0,0,1,1,1,1,1,1,10042120,-28,-65
Chubut,Rawson,Rawson,24616,1,1,1,1,1,1,1,1,1,26077030,-43,-65
Chubut,Rawson,Trelew,97915,1,1,1,1,1,1,1,1,1,26077040,-43,-65
Chubut,Río Senguer,Aldea Apeleg,126,0,0,0,0,1,1,1,0,0,26084010,-44,-70
Chubut,Río Senguer,Aldea Beleiro,176,0,0,0,0,1,0,1,0,0,26084020,-45,-71
Chubut,Río Senguer,Alto Río Senguer,1570,0,0,1,0,1,1,1,0,1,26084030,-45,-70
Chubut,Río Senguer,Doctor Ricardo Rojas,219,0,0,0,0,1,0,1,0,0,26084040,-45,-71
Chubut,Río Senguer,Facundo,185,0,0,0,0,1,1,1,0,0,26084050,-45,-69
Chubut,Río Senguer,Lago Blanco,194,0,0,0,0,1,0,1,0,0,26084060,-45,-71
Chubut,Río Senguer,Río Mayo,2791,1,0,0,1,1,1,1,0,1,26084070,-45,-70
Chubut,Sarmiento,Buen Pasto,105,0,0,0,0,1,0,1,0,0,26091010,-45,-69
Chubut,Sarmiento,Sarmiento,10858,1,1,0,1,1,1,1,1,1,26091020,-45,-69
Chubut,Tehuelches,Frontera De Río Pico,44,0,0,0,0,0,0,1,0,0,26098010,-44,-71
Cordoba,Santa María,Toledo,3843,1,0,0,1,0,1,1,1,1,14147280,-31,-64
Cordoba,Santa María,Valle Alegre,494,0,0,0,0,0,0,0,0,0,14147290,-31,-64
Cordoba,Santa María,Valle De Anisacate,487,0,0,0,0,0,1,0,0,0,14147300,-31,-64
Cordoba,Santa María,Villa Ciudad De América (Loteo Diego De Rojas),679,0,0,0,0,0,1,1,1,1,14147310,-31,-64
Cordoba,Santa María,Villa Del Prado,1476,0,0,0,0,0,1,0,0,0,14147320,-31,-64
Cordoba,Santa María,Villa La Bolsa,995,0,0,0,0,0,1,0,1,1,14147330,-31,-64
Cordoba,Santa María,Villa Los Aromos,1364,1,0,0,0,0,1,1,0,0,14147340,-31,-64
Cordoba,Santa María,Villa Parque Santa Ana,2491,1,0,0,1,0,0,1,1,1,14147350,-31,-64
Cordoba,Santa María,Villa San Isidro - José De La Quintana,483,0,0,0,0,0,1,1,0,0,14147360,-31,-64
Cordoba,Santa María,Villa Sierras De Oro,251,0,0,0,0,0,0,0,1,1,14147370,-31,-64
Cordoba,Santa María,Yocsina,1242,0,0,0,0,0,0,0,0,1,14147380,-31,-64
